Prime,Previous Prime,Next Prime,Gap to Previous,Gap to Next,Log(p)^2,Deviation (Prev),Deviation (Next),Anomaly (Prev),Anomaly (Next)
3999999999999999791,3999999999999999761,3999999999999999883,30,92,1834.6509861456625,0.01635188394225633,0.05014577742291941,False,False
3999999999999999691,3999999999999999581,3999999999999999761,110,70,1834.6509861456625,0.059956907788273214,0.03815439586526477,False,False
3999999999999999761,3999999999999999691,3999999999999999791,70,30,1834.6509861456625,0.03815439586526477,0.01635188394225633,False,False
3999999999999998803,3999999999999998777,3999999999999998807,26,4,1834.6509861456625,0.014171632749955487,0.002180251192300844,False,False
3999999999999999883,3999999999999999791,3999999999999999887,92,4,1834.6509861456625,0.05014577742291941,0.002180251192300844,False,False
3999999999999999887,3999999999999999883,4000000000000000037,4,150,1834.6509861456625,0.002180251192300844,0.08175941971128166,False,False
4000000000000000037,3999999999999999887,4000000000000000049,150,12,1834.6509861456625,0.08175941971128166,0.0065407535769025325,False,False
4999999999999999963,4999999999999999889,5000000000000000003,74,40,1853.816517018709,0.03991765059845628,0.021577108431597988,False,False
5000000000000000003,4999999999999999963,5000000000000000123,40,120,1853.816517018709,0.021577108431597988,0.06473132529479396,False,False
4999999999999999783,4999999999999999747,4999999999999999837,36,54,1853.816517018709,0.01941939758843819,0.029129096382657284,False,False
4999999999999999889,4999999999999999871,4999999999999999963,18,74,1853.816517018709,0.009709698794219094,0.03991765059845628,False,False
